stop_id,stop_code,stop_name,tts_stop_name,stop_lat,stop_lon,wheelchair_boarding,location_type,parent_station,platform_code
140348,140348,CRUZ PAU (R 25 ABRIL 83),Cruz Pau ( Rua 25 De Abril Número 83 ),38.62356,-9.124466,0,0,,
140349,140349,CORROIOS (AV VL MILHAÇOS 30) - C SAÚDE,Corroios ( Avenida Vale Milhaços 30 ) - Centro De Saúde,38.639062,-9.152929,0,0,,
140350,140350,CORROIOS (AV VL MILHAÇOS 30) - C SAÚDE,Corroios ( Avenida Vale Milhaços 30 ) - Centro De Saúde,38.638878,-9.153413,0,0,,
140351,140351,ALTO MOINHO (R 1º MAIO N14),Alto Moinho ( Rua Primeiro De Maio ( Número 14 ) ),38.637164,-9.156803,0,0,,
140352,140352,ALTO MOINHO (R 1º MAIO N14),Alto Moinho ( Rua Primeiro De Maio ( Número 14 ) ),38.637312,-9.157045,0,0,,
140353,140353,ALTO MOINHO R CAMÕES (LARGO 1º MAIO),Alto Moinho Rua Camões ( Largo Primeiro De Maio ),38.636969,-9.1586,0,0,,
140354,140354,ALTO MOINHO R CAMÕES (LARGO 1º MAIO),Alto Moinho Rua Camões ( Largo Primeiro De Maio ),38.637164,-9.158556,0,0,,
140355,140355,ALTO MOINHO R J DEUS (CENTRO CULTURAL),Alto Moinho Rua J Deus ( Centro Cultural ),38.634792,-9.1597,0,0,,
140356,140356,ALTO MOINHO R J DEUS (CENTRO CULTURAL),Alto Moinho Rua J Deus ( Centro Cultural ),38.635242,-9.159845,0,0,,
140357,140357,ALTO MOINHO (R GUERRA JUNQUEIRO 42),Alto Moinho ( Rua Guerra Junqueiro 42 ),38.63391,-9.161763,0,0,,
140358,140358,ALTO MOINHO (R GUERRA JUNQUEIRO 42),Alto Moinho ( Rua Guerra Junqueiro 42 ),38.633826,-9.161808,0,0,,
140359,140359,ALTO MOINHO (AV GUERRA JUNQUEIRO) JARDIM,Alto Moinho ( Avenida Guerra Junqueiro ) Jardim,38.634685,-9.164037,0,0,,
