route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
A,2,A_2_7.A51,Reboleira,0,shp7
A,2,A_2_7.A52,Santa Apolónia,1,shp6
A,2,A_2_7.A53,Reboleira,0,shp7
A,2,A_2_7.A54,Santa Apolónia,1,shp6
A,2,A_2_7.A55,Reboleira,0,shp7
A,2,A_2_7.A56,Santa Apolónia,1,shp6
A,2,A_2_7.A57,Reboleira,0,shp7
A,2,A_2_7.A58,Santa Apolónia,1,shp6
A,2,A_2_7.A59,Reboleira,0,shp7
A,2,A_2_7.A60,Santa Apolónia,1,shp6
A,2,A_2_7.A61,Reboleira,0,shp7
A,2,A_2_7.A62,Santa Apolónia,1,shp6
A,2,A_2_7.A63,Reboleira,0,shp7
A,2,A_2_7.A1,Santa Apolónia,1,shp6
A,2,A_2_7.A2,Reboleira,0,shp7
A,2,A_2_7.A3,Santa Apolónia,1,shp6
A,2,A_2_7.A4,Reboleira,0,shp7
A,2,A_2_7.A5,Santa Apolónia,1,shp6
A,2,A_2_7.A6,Reboleira,0,shp7
A,2,A_2_7.A7,Santa Apolónia,1,shp6
A,2,A_2_7.A07,Reboleira,0,shp7
A,2,A_2_7.A08,Santa Apolónia,1,shp6
A,1,A_1_7.A4,Reboleira,0,shp15
A,1,A_1_7.A5,Santa Apolónia,1,shp6
A,1,A_1_7.A6,Reboleira,0,shp7
A,1,A_1_7.A7,Santa Apolónia,1,shp6
A,1,A_1_7.A8,Reboleira,0,shp7
A,1,A_1_7.A9,Santa Apolónia,1,shp6
A,1,A_1_7.A10,Reboleira,0,shp7
A,1,A_1_7.A11,Santa Apolónia,1,shp6
A,1,A_1_7.A12,Reboleira,0,shp7
A,1,A_1_7.A13,Santa Apolónia,1,shp6
A,1,A_1_7.A14,Reboleira,0,shp7
A,1,A_1_7.A15,Santa Apolónia,1,shp6
A,1,A_1_7.A16,Reboleira,0,shp7
A,1,A_1_7.A17,Santa Apolónia,1,shp6
A,1,A_1_7.A18,Reboleira,0,shp7
A,1,A_1_7.A19,Santa Apolónia,1,shp6
A,1,A_1_7.A20,Reboleira,0,shp7
A,1,A_1_7.A21,Santa Apolónia,1,shp6
A,1,A_1_7.A22,Reboleira,0,shp7
A,1,A_1_7.A23,Santa Apolónia,1,shp6
A,1,A_1_7.A24,Reboleira,0,shp7
A,1,A_1_7.A25,Santa Apolónia,1,shp6
A,1,A_1_7.A26,Reboleira,0,shp7
A,1,A_1_7.A27,Santa Apolónia,1,shp6
A,1,A_1_7.A28,Reboleira,0,shp7
A,1,A_1_7.A29,Santa Apolónia,1,shp6
A,1,A_1_7.A30,Reboleira,0,shp7
A,1,A_1_7.A31,Santa Apolónia,1,shp6
A,1,A_1_7.A32,Reboleira,0,shp7
A,1,A_1_7.A33,Santa Apolónia,1,shp6
A,1,A_1_7.A34,Reboleira,0,shp7
A,1,A_1_7.A35,Santa Apolónia,1,shp6
A,1,A_1_7.A035,Reboleira,0,shp7
A,1,A_1_7.A036,Santa Apolónia,1,shp6
B,2,B_2_26.B1,Odivelas,1,shp11
B,2,B_2_26.B2,Rato,0,shp10
B,2,B_2_26.B3,Odivelas,1,shp11
B,2,B_2_26.B4,Rato,0,shp10
B,2,B_2_26.B5,Odivelas,1,shp11
B,2,B_2_26.B6,Rato,0,shp10
B,2,B_2_26.B7,Odivelas,1,shp11
B,2,B_2_26.B8,Rato,0,shp10
B,2,B_2_26.B9,Odivelas,1,shp11
B,2,B_2_26.B10,Rato,0,shp10
B,2,B_2_26.B11,Odivelas,1,shp11
B,2,B_2_26.B12,Rato,0,shp10
B,2,B_2_26.B13,Odivelas,1,shp11
B,2,B_2_26.B14,Rato,0,shp10
B,2,B_2_26.B15,Odivelas,1,shp11
B,2,B_2_26.B16,Rato,0,shp10
B,2,B_2_26.B17,Odivelas,1,shp11
B,2,B_2_26.B18,Rato,0,shp10
B,2,B_2_26.B19,Odivelas,1,shp11
B,2,B_2_26.B20,Rato,0,shp10
B,2,B_2_26.B21,Odivelas,1,shp11
B,2,B_2_26.B22,Rato,0,shp10
B,2,B_2_26.B23,Odivelas,1,shp11
B,2,B_2_26.B24,Rato,0,shp10
B,2,B_2_26.B25,Odivelas,1,shp11
B,2,B_2_26.B26,Rato,0,shp10
B,2,B_2_26.B27,Odivelas,1,shp11
B,2,B_2_26.B28,Rato,0,shp10
B,2,B_2_26.B29,Odivelas,1,shp11
B,2,B_2_26.B30,Rato,0,shp10
B,2,B_2_26.B31,Odivelas,1,shp11
B,2,B_2_26.B32,Rato,0,shp10
B,2,B_2_26.B33,Odivelas,1,shp11
B,2,B_2_26.B34,Rato,0,shp10
B,2,B_2_26.B35,Odivelas,1,shp11
B,2,B_2_26.B36,Rato,0,shp10
B,2,B_2_26.B37,Odivelas,1,shp11
B,2,B_2_26.B38,Rato,0,shp10
B,2,B_2_26.B39,Odivelas,1,shp11
B,2,B_2_26.B40,Rato,0,shp10
B,2,B_2_26.B41,Odivelas,1,shp11
B,2,B_2_26.B01,Rato,0,shp10
B,2,B_2_26.B02,Odivelas,1,shp11
B,2,B_2_26.B03,Rato,0,shp10
B,1,B_1_26.B2,Odivelas,1,shp11
B,1,B_1_26.B3,Rato,0,shp10
B,1,B_1_26.B4,Odivelas,1,shp11
B,1,B_1_26.B5,Rato,0,shp10
B,1,B_1_26.B6,Odivelas,1,shp11
B,1,B_1_26.B7,Rato,0,shp10
B,1,B_1_26.B8,Odivelas,1,shp11
B,1,B_1_26.B9,Rato,0,shp10
B,1,B_1_26.B10,Odivelas,1,shp11
B,1,B_1_26.B11,Rato,0,shp10
B,1,B_1_26.B12,Odivelas,1,shp11
B,1,B_1_26.B13,Rato,0,shp10
B,1,B_1_26.B14,Odivelas,1,shp11
B,1,B_1_26.B15,Rato,0,shp10
B,1,B_1_26.B16,Odivelas,1,shp11
B,1,B_1_26.B17,Rato,0,shp10
B,1,B_1_26.B18,Odivelas,1,shp11
B,1,B_1_26.B19,Rato,0,shp10
B,1,B_1_26.B20,Odivelas,1,shp11
B,1,B_1_26.B21,Rato,0,shp10
B,1,B_1_26.B22,Odivelas,1,shp11
B,1,B_1_26.B23,Rato,0,shp10
B,1,B_1_26.B24,Odivelas,1,shp11
B,1,B_1_26.B25,Rato,0,shp10
B,1,B_1_26.B26,Odivelas,1,shp11
B,1,B_1_26.B27,Rato,0,shp10
B,1,B_1_26.B28,Odivelas,1,shp11
B,1,B_1_26.B29,Rato,0,shp10
B,1,B_1_26.B30,Odivelas,1,shp11
A,1,A_1_6.A2,Reboleira,0,shp16
A,1,A_1_6.A3,Santa Apolónia,1,shp6
A,1,A_1_6.A4,Reboleira,0,shp7
A,1,A_1_6.A5,Santa Apolónia,1,shp6
A,1,A_1_6.A6,Reboleira,0,shp7
A,1,A_1_6.A7,Santa Apolónia,1,shp6
A,1,A_1_6.A8,Reboleira,0,shp7
A,1,A_1_6.A12,Santa Apolónia,1,shp6
A,1,A_1_6.A13,Reboleira,0,shp7
A,1,A_1_6.A14,Santa Apolónia,1,shp6
A,1,A_1_6.A15,Reboleira,0,shp7
A,2,A_2_6.A18,Reboleira,0,shp15
A,2,A_2_6.A19,Santa Apolónia,1,shp6
A,2,A_2_6.A20,Reboleira,0,shp7
